-4897,3080,2133,-58,-15,-78,17,-7,0
395,-997,4914,-30,66,-69,1,-2,-8
-334,-754,-567,-31,15,-34,3,1,4
-1576,-1645,-6102,1,-22,45,4,6,13
935,-3535,7830,-50,62,-135,1,5,-11
4607,-6775,-5049,-46,112,48,-9,10,10
-1981,-3292,2403,86,11,-46,-1,8,-3
3716,6266,-2052,-125,-133,35,-1,-7,3
2164,2592,-1087,-83,8,19,-2,-12,3
5797,-2511,-1129,-135,64,10,-13,5,4
631,513,551,12,-47,-70,-4,2,4
379,471,2441,68,65,-149,-8,-8,3
-860,618,740,182,47,-35,-13,-7,0
2593,6949,1416,-29,-46,-37,-2,-7,0
-5501,4384,-7324,-50,-37,37,10,-4,8
-4038,-3064,-123,-30,3,23,7,4,-1
-3202,3453,7515,-13,46,-100,5,-7,-5
3638,-1715,2499,2,104,-7,-5,-3,-3
1966,698,447,-32,99,-109,-1,-6,5
-1796,2997,-2802,145,-59,-4,-5,-1,4
-7173,3814,-940,150,-22,-53,2,-4,4
-4570,2104,-1282,-16,-94,34,7,2,0
3771,522,-3659,-78,-86,99,-14,6,11
2187,1314,2488,67,-92,-24,-20,2,-12
-63,945,-1094,-55,-81,61,6,3,0
744,3880,-2126,12,-83,46,-2,-2,1
777,-9650,-5096,-6,174,68,-1,7,5
-5823,4936,-6713,-27,-13,83,12,-8,7
-3975,-311,10513,87,61,-65,2,-3,-15
909,-674,-1499,-27,-47,-92,0,4,8
5496,-1367,-7010,-30,-9,41,-8,3,10
-2325,-641,11536,71,37,-181,0,-1,-10
-1995,-5030,-3578,78,0,-12,-1,9,7
-153,-323,-2786,-2,57,38,1,-4,12
-351,-1808,-383,9,16,47,1,9,-3
2727,-350,2695,-86,-8,-124,-7,3,-3
1818,-1583,-2228,-45,89,83,-6,0,4
-1836,-1907,-2597,101,145,56,0,-4,9
-1314,-1529,1255,72,67,-63,0,2,-1
-1882,-5004,-2676,24,15,114,2,8,-2
6533,8493,1878,-10,-37,-58,-11,-13,0
3860,1233,5772,-65,13,-74,-3,-3,-6
-7228,-6720,360,101,67,56,7,8,-4
-3334,-186,3132,17,5,-130,5,0,2
2771,-3948,30,-83,85,-36,0,2,2
4553,-5961,3363,-137,-92,-103,0,16,0
527,4199,-7,37,-111,-83,-5,-6,7
-5246,749,-1019,96,-33,-3,11,0,4
3885,588,5306,-133,-14,-62,-3,-1,-14
-209,4751,-2928,-27,-51,68,3,-13,5
930,661,206,-42,-68,62,-3,3,-10
944,675,-2545,-28,6,176,-5,-7,1
1245,-655,-1327,-87,-19,29,0,9,9
1357,-1831,-662,-20,125,124,-10,1,-10
2134,-3035,1326,-143,151,-93,-1,9,0
-1261,-2279,-480,-13,82,66,14,11,-4
564,-554,-1880,51,35,89,-7,-1,0
5814,2890,199,-78,-63,1,-18,-7,-1
-2292,-1394,4168,0,20,-34,10,4,-15
2412,-1436,-1523,-59,-11,-16,-5,7,8
1782,1378,-158,4,-57,-26,-8,-1,3
-906,-2234,1186,-33,38,-57,7,6,0
2643,3436,-1460,-15,-111,25,-10,-5,4
-1473,-1625,-2615,38,20,124,3,5,0
2202,-2003,-2699,-27,-6,84,-7,9,4
-780,181,-956,-50,0,56,8,-1,-1
-114,-2071,22,26,133,22,-3,14,-4
206,214,172,-61,42,-15,7,-11,0
1051,-696,-1118,-85,78,15,-4,-1,18
-554,-1366,-833,37,90,102,3,9,-3
1656,-726,197,-107,59,-34,-11,3,3
756,129,-1258,-61,-10,128,-3,0,0
-109,1529,992,53,-62,-108,-8,-16,2
1621,497,2406,14,-9,-45,-6,-1,-4
-1754,3497,-3544,-59,-38,11,10,-8,10
6021,972,1656,-97,11,-80,-11,-4,1
-1979,-2153,-519,15,84,20,5,0,0
-3304,3722,406,81,-73,-4,4,-6,-1
1621,1672,631,-25,-56,-26,-3,-1,0
-29,3097,-1769,2,-61,5,0,-5,5
3421,2597,-1769,-58,-106,-164,-6,0,18
2196,-3828,-1069,-87,73,146,0,6,-8
4896,3897,3681,-169,-41,-44,-2,-9,-8
5713,562,-2826,-85,-15,-68,-3,0,7
3100,15070,3765,-38,-107,-97,-2,-14,0
-6416,-3104,-1071,106,59,27,3,1,0
4621,289,-11055,-117,-8,-77,0,0,18
-6026,2941,-642,16,-96,-124,7,1,7
-12188,-4274,840,54,129,98,13,-1,-6
3802,-2441,12696,-16,2,-186,-4,3,-7
4660,-5249,-9456,22,54,-38,-7,4,14
-722,-2012,-3528,20,191,50,0,-7,2
1696,-5444,1620,-42,-61,-42,0,10,0
-3823,-4133,-5338,80,76,162,2,3,0
-2338,-74,2582,69,-30,41,0,2,-7
2414,586,-4249,-109,1,95,2,-1,2
3074,6328,5420,-61,-3,-11,-2,-11,-9
-1294,-753,1379,-39,19,23,7,1,-6
2356,872,-2296,36,-33,-51,-10,0,11
-1994,3247,3379,-63,-11,-5,11,-9,-10
1056,-2953,329,-42,55,0,0,5,-1
4494,-4898,-538,35,81,17,-10,4,0
-1611,3352,-934,50,-16,-39,0,-5,4
-2370,-1829,2795,5,-131,-84,4,11,0
6144,-3347,-1000,-117,0,-156,-4,6,11
-2964,6355,5138,-96,-107,-19,11,-5,-8
897,-4106,-3541,42,40,-113,-4,5,13
-5637,-2687,2762,155,-105,36,1,11,-7
-694,711,-1340,44,-35,-1,0,-1,11
-679,1521,-1550,3,-121,85,5,3,2
-2039,-1469,-1785,46,-12,89,5,8,0
731,2271,-1155,-40,-94,5,0,-2,5
201,-629,-1675,81,9,94,-9,2,-1
-1829,-1739,145,88,75,-60,0,1,5
1491,2701,-1505,-78,-63,-9,0,-7,8
121,2501,3325,-20,-11,-51,1,-11,-11
71,1261,2235,35,-96,-112,-4,3,0
-379,-2759,1685,-121,-21,-74,13,15,-1
2871,-159,-3475,0,38,79,-14,-3,9
-1311,1687,-4311,54,-84,3,-1,2,6
502,2242,-8677,138,-61,-31,-8,0,14
9271,5313,-3090,-99,-49,-11,-8,-5,5
633,-2457,302,-41,52,-2,0,14,-2
2703,2043,842,-123,-64,-54,-7,-9,0
228,-1212,-223,-30,9,65,2,9,-6
678,-2682,-193,-36,83,-33,-1,12,6
1008,18,-1633,-66,-57,15,0,7,12
-282,138,2,-20,-17,-46,5,1,6
-1452,-597,-1168,90,-40,48,1,10,4
-1062,-222,-778,96,95,6,-3,-10,6
401,-352,573,-36,11,-35,1,2,-1
-1328,1419,979,110,-123,-19,-2,3,-7
814,-737,-1,-13,-14,96,-6,9,-13
464,-205,2239,-63,8,-94,4,1,-9
422,1160,-2213,-60,-97,59,4,2,13
